component_id,date,component_name,type,language,category,license,author,ecosystem,downloads,stars,forks,contributors,open_issues,closed_issues,pull_requests,merged_prs,dependents,usage_growth,market_share,commits,releases,versions,has_new_release,quality_score,documentation_score,community_score,maturity_score,language_trend,category_trend,ecosystem_health,seasonality,hype_factor,future_downloads_3m,future_downloads_6m,future_downloads_12m,growth_rate_3m,growth_rate_6m,will_grow,downloads_ma3,downloads_ma6,growth_acceleration,momentum_score,relative_popularity
1,2022-01-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,594,2556,345,31,43,131,15,12,756,0.000,0.023,58,0,1,0,0.732,0.493,1.000,0.700,0.977,1.000,0.840,1.000,1.000,737,1006,799,0.241,0.693,1,0,0,0.000,0.000,0.056
1,2022-02-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,644,2530,284,31,27,83,4,3,756,0.084,0.030,19,0,1,0,0.712,0.499,1.000,0.700,0.974,1.007,0.898,1.073,1.000,804,1025,884,0.249,0.592,1,0,0,0.000,0.235,0.060
1,2022-03-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,738,2505,339,31,44,140,4,3,757,0.146,0.056,13,0,1,0,0.737,0.505,1.000,0.700,0.971,0.993,0.994,1.100,1.000,697,1009,912,-0.055,0.368,1,659,0,0.000,0.419,0.069
1,2022-04-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,737,2550,261,31,27,89,6,5,758,-0.001,0.036,29,0,1,0,0.764,0.510,1.000,0.700,0.968,0.992,0.983,1.073,1.000,1006,799,994,0.364,0.083,1,706,0,0.000,-0.002,0.069
1,2022-05-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,804,2525,265,31,32,145,13,10,760,0.091,0.013,53,0,1,0,0.762,0.514,1.000,0.700,0.965,0.990,0.998,1.000,1.000,1025,922,1052,0.275,0.146,1,760,0,0.000,0.263,0.074
1,2022-06-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,697,2706,283,31,31,128,6,4,762,-0.012,0.037,20,0,1,0,0.759,0.516,1.000,0.700,0.962,0.995,1.018,0.900,1.000,1009,857,1167,0.448,0.230,1,746,702,0.000,-0.379,0.065
1,2022-07-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1006,2679,274,31,26,118,7,5,767,0.267,0.018,21,0,1,0,0.787,0.518,1.000,0.700,0.959,1.010,1.021,0.800,1.000,799,799,1346,-0.206,-0.205,0,836,771,0.123,1.331,0.091
1,2022-08-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1025,2652,349,31,37,134,5,4,772,0.019,0.046,20,0,1,0,0.752,0.517,1.000,0.700,0.956,0.999,1.081,0.727,1.000,922,884,943,-0.101,-0.137,0,909,835,0.026,0.058,0.093
1,2022-09-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1009,2625,300,31,41,153,14,12,777,-0.016,0.049,58,0,1,0,0.774,0.515,1.000,0.700,0.953,0.990,1.043,0.700,1.000,857,912,1258,-0.151,-0.096,0,1013,880,0.503,-0.047,0.092
1,2022-10-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,799,2599,324,31,35,146,7,5,783,0.059,0.054,28,0,1,0,0.766,0.512,1.000,0.700,0.950,0.999,1.084,0.727,1.000,799,994,1182,0.001,0.245,1,944,890,-0.570,-0.605,0.074
