component_id,component_name,type,language,category,license,author,ecosystem,status,created_at,initial_quality,documentation_quality,has_website,has_examples,has_tutorials,has_ci,has_tests,contributors,forks,open_issues,closed_issues,dependencies,dependents
1,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,Maintained,2016-12-16,0.684,0.493,0,0,0,1,0,31,458,87,246,30,756
2,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,Maintained,2020-01-16,0.790,0.827,1,1,0,1,0,12,3,97,319,2,1601
3,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,Legacy,2020-09-16,0.729,0.631,0,0,1,0,0,48,696,23,295,9,4823
4,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,Maintained,2019-12-16,0.686,0.910,0,0,1,0,0,3,332,22,423,33,4402
5,fast-logging-client,Tool,PHP,Logging,GPL-3.0,Spring,Maven Central,Deprecated,2020-03-16,0.514,0.226,0,0,1,0,1,1,151,42,441,34,4996
6,mini-caching-client,Library,Ruby,Caching,MIT,Spring,RubyGems,Legacy,2017-02-16,0.687,0.602,0,1,0,0,0,43,331,98,293,16,2978
7,micro-template-1007-core,Template,C#,Web Framework,BSD-3-Clause,Google,NuGet,Active,2017-01-16,0.672,0.310,0,1,0,0,1,26,181,11,343,23,1553
8,easy-template-1008-utils,Template,Java,Documentation,Unlicense,Microsoft,Maven Central,Maintained,2021-08-16,0.981,0.578,0,1,0,0,1,32,425,53,95,9,3459
9,super-plugin-1009-api,Plugin,PHP,Serialization,AGPL-3.0,Individual Contributors,Maven Central,Experimental,2017-08-16,0.688,0.704,0,0,0,0,0,11,866,19,288,25,4590
10,micro-library-1010-spring-boot-starter,Library,Scala,Code Analysis,GPL-3.0,Apache Software Foundation,Maven Central,Stable,2020-01-16,0.664,1.000,0,1,1,1,1,16,613,5,300,37,5
11,fast-networking-api,API,C++,Networking,EPL-2.0,Amazon,Maven Central,Stable,2021-01-16,0.786,0.862,0,0,0,0,1,20,518,24,57,41,956
12,library-1012-core,Library,Ruby,Code Analysis,GPL-3.0,Amazon,RubyGems,Experimental,2020-02-16,0.864,0.517,0,0,1,0,0,3,992,52,445,2,1887
13,mini-tool-1013-api,Tool,Go,Testing,Apache-2.0,Spring,Go Modules,Experimental,2019-12-16,0.537,0.447,1,0,0,0,1,38,688,8,94,8,867
14,simple-sdk-1014-lib,SDK,C++,Utilities,EPL-2.0,Google,Maven Central,Legacy,2023-05-16,0.899,0.794,0,0,0,0,1,45,498,52,201,21,402
15,light-library-1015,Library,Python,Logging,Unlicense,Microsoft,PyPI,Maintained,2022-11-16,0.630,0.658,1,0,1,0,0,26,526,57,98,15,2148
16,micro-library-1016-lib,Library,Swift,Documentation,LGPL-2.1,Facebook,Maven Central,Maintained,2023-01-16,0.847,0.400,0,1,0,0,0,20,233,74,434,21,4957
17,mini-plugin-1017-core,Plugin,Swift,Logging,MPL-2.0,Individual Contributors,Maven Central,Experimental,2016-08-16,0.914,0.675,0,0,0,1,1,10,894,10,386,24,4527
18,networking-lib,Middleware,Rust,Networking,MIT,Amazon,Crates.io,Experimental,2023-07-16,0.958,0.242,0,0,1,1,1,45,649,14,282,13,1854
19,fast-testing-api,Template,Go,Testing,Apache-2.0,Spring,Go Modules,Deprecated,2022-01-16,0.816,0.709,1,0,1,0,1,31,678,98,182,6,1829
20,easy-sdk-1020,SDK,Python,Testing,Apache-2.0,University Research,PyPI,Experimental,2016-04-16,0.705,0.718,0,0,0,1,0,10,568,46,459,40,1048
21,light-starter-1021-client,Starter,C#,Messaging,AGPL-3.0,Facebook,NuGet,Experimental,2022-03-16,0.814,0.423,0,0,0,0,0,6,461,90,83,11,3732
22,micro-middleware-1022-spring-boot-starter,Middleware,Kotlin,Code Analysis,Apache-2.0,Red Hat,Maven Central,Maintained,2016-10-16,0.569,0.531,0,0,1,1,0,33,567,49,488,31,2020
23,awesome-documentation-spring-boot-starter,Template,Ruby,Documentation,EPL-2.0,Open Source Community,RubyGems,Legacy,2018-09-16,0.828,0.438,1,1,0,0,1,41,988,32,113,28,4788
24,light-middleware-1024-utils,Middleware,Python,Logging,GPL-3.0,VMware,PyPI,Maintained,2020-10-16,0.946,0.640,0,1,1,1,0,40,730,84,101,40,4755
25,micro-starter-1025-lib,Starter,Python,Logging,MIT,Red Hat,PyPI,Legacy,2023-03-16,0.819,0.655,0,0,1,0,0,6,271,29,106,41,1970
26,awesome-framework-1026-spring-boot-starter,Framework,JavaScript,Documentation,BSD-3-Clause,Red Hat,npm,Legacy,2016-11-16,0.919,0.486,0,0,1,0,0,21,209,59,348,41,2000
27,fast-framework-1027,Framework,Kotlin,Web Framework,GPL-3.0,University Research,Maven Central,Stable,2019-12-16,0.928,0.774,1,0,1,0,1,57,50,50,150,17,2817
28,simple-library-1028-core,Library,PHP,Machine Learning,ISC,JetBrains,Maven Central,Active,2022-11-16,0.657,0.538,1,0,0,1,0,15,648,78,121,27,3104
29,simple-plugin-1029-spring-boot-starter,Plugin,C#,Utilities,Apache-2.0,Apache Software Foundation,NuGet,Maintained,2022-07-16,0.690,0.434,1,0,0,0,1,19,750,60,44,46,338
30,light-database-driver-spring-boot-starter,Driver,Rust,Database Driver,MPL-2.0,Apache Software Foundation,Crates.io,Legacy,2022-06-16,0.782,0.542,0,0,1,0,0,38,384,82,223,44,1947
31,mini-code-analysis-spring-boot-starter,Tool,Swift,Code Analysis,MPL-2.0,VMware,Maven Central,Deprecated,2019-05-16,0.824,0.362,0,0,0,1,0,11,511,61,42,42,2908
32,micro-template-1032-core,Template,Python,Documentation,EPL-2.0,VMware,PyPI,Deprecated,2020-09-16,0.704,0.241,0,1,1,0,1,3,159,17,492,19,3872
33,micro-middleware-1033,Middleware,Kotlin,Code Analysis,ISC,Eclipse Foundation,Maven Central,Deprecated,2016-07-16,0.918,0.551,0,1,0,0,0,1,743,64,433,44,4363
34,easy-tool-1034-client,Tool,Swift,Networking,MIT,University Research,Maven Central,Stable,2017-03-16,0.695,1.000,0,1,0,0,1,38,4,24,400,38,3737
35,awesome-tool-1035-lib,Tool,JavaScript,Machine Learning,Unlicense,Open Source Community,npm,Stable,2018-12-16,0.766,1.000,0,1,0,1,0,49,666,88,438,45,3454
